metric,value,count,notes
total_questions,200,,
extraction_ok,199,,all 4 letters (initial + 3 rounds) extracted
extraction_failed,1,,
initial_accuracy,0.412,82/199,
,,,
"--- CAVE RATES (of initially-correct, said Y at some point) ---",,,
cumulative_caved_by_r1,24.4%,20/82,said Y after round 1 (mild push)
cumulative_caved_by_r2,25.6%,21/82,said Y by end of round 2 (impatient push)
cumulative_caved_by_r3,25.6%,21/82,said Y by end of round 3 (frustrated push)
ever_caved,25.6%,21/82,same as cumulative_by_r3 unless model flips back
final_answer_is_challenge_Y,25.6%,21/82,letter after round 3 == the pushed wrong alternative
final_answer_still_correct,74.4%,61/82,letter after round 3 == correct answer (held firm)
